time,class,cpu,mem
2015-01-01 19:03:32,flavor15,16,65536
2015-01-01 19:03:34,flavor15,16,65536
2015-01-01 23:26:04,flavor8,4,8192
2015-01-02 18:25:23,flavor2,1,2048
2015-01-02 21:03:49,flavor8,4,8192
2015-01-02 22:21:11,flavor15,16,65536
2015-01-02 22:22:06,flavor15,16,65536
2015-01-03 01:35:30,flavor6,2,8192
2015-01-03 04:29:18,flavor12,8,32768
2015-01-03 04:29:45,flavor12,8,32768
2015-01-03 04:29:54,flavor15,16,65536
2015-01-03 04:30:14,flavor12,8,32768
2015-01-05 18:31:07,flavor8,4,8192
2015-01-06 17:34:57,flavor11,8,16384
2015-01-06 17:34:59,flavor11,8,16384
2015-01-06 17:35:07,flavor11,8,16384
2015-01-06 17:35:07,flavor11,8,16384
2015-01-06 17:48:33,flavor17,32,65536
2015-01-06 22:08:21,flavor9,4,16384
2015-01-06 22:22:07,flavor6,2,8192
2015-01-07 01:35:55,flavor9,4,16384
2015-01-07 03:16:03,flavor15,16,65536
2015-01-07 04:31:16,flavor8,4,8192
2015-01-07 04:31:24,flavor12,8,32768
2015-01-07 04:31:34,flavor12,8,32768
2015-01-07 04:31:52,flavor12,8,32768
2015-01-07 04:31:53,flavor12,8,32768
2015-01-07 04:31:53,flavor12,8,32768
2015-01-08 00:30:33,flavor8,4,8192
2015-01-08 03:02:11,flavor9,4,16384
2015-01-09 00:19:17,flavor12,8,32768
2015-01-09 00:36:27,flavor11,8,16384
2015-01-09 20:40:27,flavor23,128,262144
2015-01-09 20:40:46,flavor23,128,262144
2015-01-09 20:42:54,flavor12,8,32768
2015-01-09 20:42:55,flavor12,8,32768
2015-01-09 20:42:56,flavor12,8,32768
2015-01-09 20:43:03,flavor12,8,32768
2015-01-09 21:03:37,flavor14,16,32768
2015-01-09 22:16:41,flavor14,16,32768
2015-01-09 22:16:51,flavor14,16,32768
2015-01-09 22:16:51,flavor14,16,32768
2015-01-09 22:16:51,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:00,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:09,flavor14,16,32768
2015-01-09 22:17:18,flavor14,16,32768
2015-01-09 22:17:18,flavor14,16,32768
2015-01-09 22:17:27,flavor14,16,32768
2015-01-09 22:17:27,flavor14,16,32768
2015-01-10 00:05:41,flavor3,1,4096
2015-01-10 00:07:15,flavor3,1,4096
2015-01-10 18:32:14,flavor11,8,16384
2015-01-12 00:19:55,flavor3,1,4096
2015-01-12 00:28:33,flavor21,64,262144
2015-01-12 00:29:01,flavor9,4,16384
2015-01-12 18:38:48,flavor4,2,2048
2015-01-12 19:31:03,flavor9,4,16384
2015-01-13 19:28:44,flavor12,8,32768
2015-01-13 19:28:45,flavor12,8,32768
2015-01-13 19:28:53,flavor12,8,32768
2015-01-13 19:29:03,flavor12,8,32768
2015-01-13 19:29:11,flavor12,8,32768
2015-01-13 19:29:13,flavor12,8,32768
2015-01-13 19:29:23,flavor12,8,32768
2015-01-13 19:29:30,flavor12,8,32768
2015-01-13 23:07:25,flavor5,2,4096
2015-01-13 23:07:51,flavor5,2,4096
2015-01-13 23:07:52,flavor5,2,4096
2015-01-13 23:08:02,flavor5,2,4096
2015-01-13 23:08:03,flavor5,2,4096
2015-01-13 23:08:12,flavor5,2,4096
2015-01-13 23:39:40,flavor5,2,4096
2015-01-13 23:39:50,flavor5,2,4096
2015-01-13 23:39:50,flavor5,2,4096
2015-01-13 23:39:50,flavor5,2,4096
2015-01-13 23:39:50,flavor5,2,4096
2015-01-13 23:39:59,flavor6,2,8192
2015-01-13 23:40:00,flavor5,2,4096
2015-01-13 23:40:08,flavor8,4,8192
2015-01-13 23:40:18,flavor8,4,8192
2015-01-13 23:40:19,flavor8,4,8192
2015-01-13 23:40:29,flavor8,4,8192
2015-01-14 00:05:39,flavor5,2,4096
2015-01-14 00:06:26,flavor5,2,4096
2015-01-14 00:06:52,flavor7,4,4096
2015-01-14 17:56:15,flavor14,16,32768
2015-01-14 17:56:15,flavor14,16,32768
2015-01-14 17:56:24,flavor14,16,32768
2015-01-14 17:56:24,flavor14,16,32768
2015-01-14 17:56:33,flavor14,16,32768
2015-01-14 17:56:33,flavor14,16,32768
2015-01-14 20:10:19,flavor15,16,65536
2015-01-14 20:52:39,flavor15,16,65536
2015-01-14 20:53:55,flavor15,16,65536
2015-01-14 20:56:04,flavor15,16,65536
2015-01-14 21:00:32,flavor15,16,65536
2015-01-14 23:18:28,flavor15,16,65536
2015-01-14 23:23:15,flavor15,16,65536
2015-01-14 23:57:43,flavor12,8,32768
2015-01-15 00:02:02,flavor15,16,65536
2015-01-15 00:03:14,flavor4,2,2048
2015-01-15 00:04:29,flavor15,16,65536
2015-01-15 00:05:26,flavor15,16,65536
2015-01-15 00:07:52,flavor9,4,16384
2015-01-15 00:08:40,flavor15,16,65536
2015-01-15 00:11:36,flavor15,16,65536
2015-01-15 00:13:27,flavor15,16,65536
2015-01-15 00:25:49,flavor15,16,65536
2015-01-15 00:25:50,flavor15,16,65536
2015-01-15 00:27:57,flavor15,16,65536
2015-01-15 00:30:35,flavor15,16,65536
2015-01-15 00:33:22,flavor15,16,65536
2015-01-15 00:34:55,flavor15,16,65536
2015-01-15 00:37:06,flavor15,16,65536
2015-01-15 00:38:56,flavor15,16,65536
2015-01-15 01:31:16,flavor8,4,8192
2015-01-15 21:42:40,flavor8,4,8192
2015-01-16 00:13:51,flavor8,4,8192
2015-01-16 00:14:48,flavor15,16,65536
2015-01-16 00:14:55,flavor15,16,65536
2015-01-16 00:14:55,flavor15,16,65536
2015-01-16 00:15:04,flavor15,16,65536
2015-01-16 00:16:46,flavor12,8,32768
2015-01-16 00:16:57,flavor12,8,32768
2015-01-16 00:17:06,flavor12,8,32768
2015-01-16 01:58:42,flavor18,32,131072
2015-01-16 17:22:26,flavor12,8,32768
2015-01-16 17:22:36,flavor12,8,32768
2015-01-16 17:35:29,flavor9,4,16384
2015-01-16 17:35:31,flavor9,4,16384
