flavor,time,weekday,cpu_num,notweek
15,20150101,3.0,16.0,1
8,20150101,3.0,4.0,1
8,20150102,4.0,4.0,1
15,20150102,4.0,32.0,1
2,20150102,4.0,1.0,1
6,20150103,5.0,2.0,0
15,20150103,5.0,16.0,0
12,20150103,5.0,24.0,0
8,20150105,0.0,4.0,1
11,20150106,1.0,32.0,1
17,20150106,1.0,32.0,1
6,20150106,1.0,2.0,1
9,20150106,1.0,4.0,1
15,20150107,2.0,16.0,1
8,20150107,2.0,4.0,1
9,20150107,2.0,4.0,1
12,20150107,2.0,40.0,1
9,20150108,3.0,4.0,1
8,20150108,3.0,4.0,1
12,20150109,4.0,40.0,1
11,20150109,4.0,8.0,1
23,20150109,4.0,0.0,1
14,20150109,4.0,336.0,1
3,20150110,5.0,2.0,0
11,20150110,5.0,8.0,0
4,20150112,0.0,2.0,1
9,20150112,0.0,8.0,1
21,20150112,0.0,64.0,1
3,20150112,0.0,1.0,1
12,20150113,1.0,64.0,1
6,20150113,1.0,2.0,1
8,20150113,1.0,16.0,1
5,20150113,1.0,24.0,1
12,20150114,2.0,8.0,1
5,20150114,2.0,4.0,1
14,20150114,2.0,96.0,1
15,20150114,2.0,112.0,1
7,20150114,2.0,4.0,1
15,20150115,3.0,224.0,1
8,20150115,3.0,8.0,1
4,20150115,3.0,2.0,1
9,20150115,3.0,4.0,1
8,20150116,4.0,12.0,1
9,20150116,4.0,24.0,1
15,20150116,4.0,64.0,1
18,20150116,4.0,32.0,1
5,20150116,4.0,2.0,1
12,20150116,4.0,40.0,1
15,20150119,0.0,16.0,1
3,20150119,0.0,1.0,1
8,20150120,1.0,16.0,1
5,20150120,1.0,6.0,1
9,20150120,1.0,4.0,1
6,20150120,1.0,6.0,1
11,20150120,1.0,40.0,1
2,20150122,3.0,2.0,1
11,20150122,3.0,16.0,1
4,20150122,3.0,2.0,1
14,20150122,3.0,16.0,1
3,20150123,4.0,1.0,1
11,20150123,4.0,24.0,1
12,20150124,5.0,8.0,0
14,20150125,6.0,128.0,0
5,20150127,1.0,2.0,1
5,20150128,2.0,2.0,1
6,20150128,2.0,2.0,1
8,20150128,2.0,4.0,1
5,20150129,3.0,2.0,1
8,20150129,3.0,12.0,1
8,20150130,4.0,8.0,1
11,20150201,6.0,40.0,0
18,20150202,0.0,64.0,1
3,20150202,0.0,1.0,1
2,20150202,0.0,1.0,1
11,20150203,1.0,16.0,1
14,20150203,1.0,32.0,1
8,20150203,1.0,4.0,1
6,20150203,1.0,12.0,1
5,20150203,1.0,6.0,1
9,20150203,1.0,4.0,1
7,20150203,1.0,4.0,1
2,20150204,2.0,1.0,1
5,20150204,2.0,2.0,1
22,20150205,3.0,128.0,1
11,20150205,3.0,56.0,1
8,20150205,3.0,44.0,1
6,20150205,3.0,4.0,1
3,20150205,3.0,2.0,1
14,20150205,3.0,32.0,1
4,20150206,4.0,2.0,1
14,20150206,4.0,64.0,1
8,20150206,4.0,4.0,1
5,20150206,4.0,6.0,1
5,20150208,6.0,2.0,0
8,20150208,6.0,4.0,0
15,20150208,6.0,16.0,0
12,20150208,6.0,8.0,0
9,20150209,0.0,12.0,1
12,20150209,0.0,48.0,1
18,20150209,0.0,32.0,1
1,20150210,1.0,2.0,1
9,20150210,1.0,8.0,1
8,20150210,1.0,12.0,1
2,20150210,1.0,2.0,1
22,20150211,2.0,768.0,1
13,20150211,2.0,16.0,1
11,20150211,2.0,16.0,1
9,20150211,2.0,4.0,1
8,20150212,3.0,28.0,1
3,20150212,3.0,1.0,1
11,20150212,3.0,8.0,1
7,20150212,3.0,16.0,1
12,20150212,3.0,16.0,1
2,20150212,3.0,2.0,1
7,20150213,4.0,32.0,1
5,20150213,4.0,2.0,1
11,20150213,4.0,16.0,1
9,20150213,4.0,8.0,1
6,20150214,5.0,6.0,0
5,20150214,5.0,4.0,0
9,20150214,5.0,4.0,0
1,20150215,6.0,1.0,0
11,20150216,0.0,8.0,1
7,20150216,0.0,4.0,1
3,20150216,0.0,1.0,1
8,20150216,0.0,4.0,1
10,20150217,1.0,24.0,1
9,20150217,1.0,12.0,1
12,20150217,1.0,8.0,1
11,20150217,1.0,8.0,1
7,20150217,1.0,8.0,1
8,20150218,2.0,108.0,1
9,20150218,2.0,4.0,1
10,20150218,2.0,8.0,1
2,20150219,3.0,2.0,1
9,20150219,3.0,4.0,1
