time,class,day,cpu,mem
2015-01-01 19:03:32,flavor15,3,16,65536
2015-01-01 19:03:34,flavor15,3,16,65536
2015-01-01 23:26:04,flavor8,3,4,8192
2015-01-02 18:25:23,flavor2,4,1,2048
2015-01-02 21:03:49,flavor8,4,4,8192
2015-01-02 22:21:11,flavor15,4,16,65536
2015-01-02 22:22:06,flavor15,4,16,65536
2015-01-03 01:35:30,flavor6,5,2,8192
2015-01-03 04:29:18,flavor12,5,8,32768
2015-01-03 04:29:45,flavor12,5,8,32768
2015-01-03 04:29:54,flavor15,5,16,65536
2015-01-03 04:30:14,flavor12,5,8,32768
2015-01-05 18:31:07,flavor8,0,4,8192
2015-01-06 17:34:57,flavor11,1,8,16384
2015-01-06 17:34:59,flavor11,1,8,16384
2015-01-06 17:35:07,flavor11,1,8,16384
2015-01-06 17:35:07,flavor11,1,8,16384
2015-01-06 17:48:33,flavor17,1,32,65536
2015-01-06 22:08:21,flavor9,1,4,16384
2015-01-06 22:22:07,flavor6,1,2,8192
2015-01-07 01:35:55,flavor9,2,4,16384
2015-01-07 03:16:03,flavor15,2,16,65536
2015-01-07 04:31:16,flavor8,2,4,8192
2015-01-07 04:31:24,flavor12,2,8,32768
2015-01-07 04:31:34,flavor12,2,8,32768
2015-01-07 04:31:52,flavor12,2,8,32768
2015-01-07 04:31:53,flavor12,2,8,32768
2015-01-07 04:31:53,flavor12,2,8,32768
2015-01-08 00:30:33,flavor8,3,4,8192
2015-01-08 03:02:11,flavor9,3,4,16384
2015-01-09 00:19:17,flavor12,4,8,32768
2015-01-09 00:36:27,flavor11,4,8,16384
2015-01-09 20:40:27,flavor23,4,128,262144
2015-01-09 20:40:46,flavor23,4,128,262144
2015-01-09 20:42:54,flavor12,4,8,32768
2015-01-09 20:42:55,flavor12,4,8,32768
2015-01-09 20:42:56,flavor12,4,8,32768
2015-01-09 20:43:03,flavor12,4,8,32768
2015-01-09 21:03:37,flavor14,4,16,32768
2015-01-09 22:16:41,flavor14,4,16,32768
2015-01-09 22:16:51,flavor14,4,16,32768
2015-01-09 22:16:51,flavor14,4,16,32768
2015-01-09 22:16:51,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:00,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:09,flavor14,4,16,32768
2015-01-09 22:17:18,flavor14,4,16,32768
2015-01-09 22:17:18,flavor14,4,16,32768
2015-01-09 22:17:27,flavor14,4,16,32768
2015-01-09 22:17:27,flavor14,4,16,32768
2015-01-10 00:05:41,flavor3,5,1,4096
2015-01-10 00:07:15,flavor3,5,1,4096
2015-01-10 18:32:14,flavor11,5,8,16384
2015-01-12 00:19:55,flavor3,0,1,4096
2015-01-12 00:28:33,flavor21,0,64,262144
2015-01-12 00:29:01,flavor9,0,4,16384
2015-01-12 18:38:48,flavor4,0,2,2048
2015-01-12 19:31:03,flavor9,0,4,16384
2015-01-13 19:28:44,flavor12,1,8,32768
2015-01-13 19:28:45,flavor12,1,8,32768
2015-01-13 19:28:53,flavor12,1,8,32768
2015-01-13 19:29:03,flavor12,1,8,32768
2015-01-13 19:29:11,flavor12,1,8,32768
2015-01-13 19:29:13,flavor12,1,8,32768
2015-01-13 19:29:23,flavor12,1,8,32768
2015-01-13 19:29:30,flavor12,1,8,32768
2015-01-13 23:07:25,flavor5,1,2,4096
2015-01-13 23:07:51,flavor5,1,2,4096
2015-01-13 23:07:52,flavor5,1,2,4096
2015-01-13 23:08:02,flavor5,1,2,4096
2015-01-13 23:08:03,flavor5,1,2,4096
2015-01-13 23:08:12,flavor5,1,2,4096
2015-01-13 23:39:40,flavor5,1,2,4096
2015-01-13 23:39:50,flavor5,1,2,4096
2015-01-13 23:39:50,flavor5,1,2,4096
2015-01-13 23:39:50,flavor5,1,2,4096
2015-01-13 23:39:50,flavor5,1,2,4096
2015-01-13 23:39:59,flavor6,1,2,8192
2015-01-13 23:40:00,flavor5,1,2,4096
2015-01-13 23:40:08,flavor8,1,4,8192
2015-01-13 23:40:18,flavor8,1,4,8192
2015-01-13 23:40:19,flavor8,1,4,8192
2015-01-13 23:40:29,flavor8,1,4,8192
2015-01-14 00:05:39,flavor5,2,2,4096
2015-01-14 00:06:26,flavor5,2,2,4096
2015-01-14 00:06:52,flavor7,2,4,4096
